Utterance	Intents
getting tired of you	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
what's your age	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
how old are you	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
good morning	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
who are you	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
how are you today	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
i don't understand	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
hi	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
are you old	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
are you busy	l_BasicBotLuisApplication, q_6971bafa-854e-4011-99d1-4ae9b7d1e4bc
