Label	Weight	Text
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	minority
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	study sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	Poverty
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is cultural pluralism?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is alienation?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is Apartheid?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	time for sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is bicultural?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	Two cultures
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	alientated
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is a stereotype?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	Equal rights
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	South Africa
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	next up, sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is a minority?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	2 cultures
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is affirmative action?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	What is absolute poverty?
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	let's study sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	i want to study sociology
q_47d43e59-20d6-41fe-8a8d-652539	29.04545	Apartheid
q_a19f881e-bf3d-4826-be6a-3b804d	1	Go to hell
q_a19f881e-bf3d-4826-be6a-3b804d	1	Hi there!
q_a19f881e-bf3d-4826-be6a-3b804d	1	Go away
q_a19f881e-bf3d-4826-be6a-3b804d	1	Getting tired of you
q_a19f881e-bf3d-4826-be6a-3b804d	1	What is the answer to the universe?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Aren't you awesome?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you here?
q_a19f881e-bf3d-4826-be6a-3b804d	1	That was right
q_a19f881e-bf3d-4826-be6a-3b804d	1	Do you like apples?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Do you know Alexa?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Where are you located?
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're no fun
q_a19f881e-bf3d-4826-be6a-3b804d	1	Will you be my best friend?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Your face is like a pancake.
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're welcome
q_a19f881e-bf3d-4826-be6a-3b804d	1	Can you ask me a question?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Why do you say the same thing all the time?
q_a19f881e-bf3d-4826-be6a-3b804d	1	What's happening?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'm feeling blue
q_a19f881e-bf3d-4826-be6a-3b804d	1	Life is good
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'd like to take you out on a date
q_a19f881e-bf3d-4826-be6a-3b804d	1	Can you fly?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you bisexual?
q_a19f881e-bf3d-4826-be6a-3b804d	1	What is love?
q_a19f881e-bf3d-4826-be6a-3b804d	1	That made no sense
q_a19f881e-bf3d-4826-be6a-3b804d	1	That's so wrong.
q_a19f881e-bf3d-4826-be6a-3b804d	1	Do you know any jokes?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'm ready for bed
q_a19f881e-bf3d-4826-be6a-3b804d	1	Shush!
q_a19f881e-bf3d-4826-be6a-3b804d	1	What's your gender?
q_a19f881e-bf3d-4826-be6a-3b804d	1	You face sucks.
q_a19f881e-bf3d-4826-be6a-3b804d	1	Morning
q_a19f881e-bf3d-4826-be6a-3b804d	1	What's your favorite song?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I beg your pardon
q_a19f881e-bf3d-4826-be6a-3b804d	1	Do you like my hat?
q_a19f881e-bf3d-4826-be6a-3b804d	1	How happy are you?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I wish you would say something else
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'm tired
q_a19f881e-bf3d-4826-be6a-3b804d	1	Kthx
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you a girl?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Yes, that's true
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you a boy?
q_a19f881e-bf3d-4826-be6a-3b804d	1	How much more awesome can you get?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Am I good-looking?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Do you have any other responses?
q_a19f881e-bf3d-4826-be6a-3b804d	1	That doesn't make sense
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're an asshole
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you my assistant?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'm furious
q_a19f881e-bf3d-4826-be6a-3b804d	1	Say something ridiculous
q_a19f881e-bf3d-4826-be6a-3b804d	1	You are my favorite
q_a19f881e-bf3d-4826-be6a-3b804d	1	Can we chat?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Where are you?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Yup
q_a19f881e-bf3d-4826-be6a-3b804d	1	Have you ever sung a song?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Nice to meet you
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're rad.
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're the worst
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you pansexual?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Sing a song
q_a19f881e-bf3d-4826-be6a-3b804d	1	Is this thing on?
q_a19f881e-bf3d-4826-be6a-3b804d	1	What do you even mean by that?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Basic af
q_a19f881e-bf3d-4826-be6a-3b804d	1	You're nice!
q_a19f881e-bf3d-4826-be6a-3b804d	1	What's your opinion of me?
q_a19f881e-bf3d-4826-be6a-3b804d	1	I'm so sorry
q_a19f881e-bf3d-4826-be6a-3b804d	1	What kind of candy do you like?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Are you happy?
q_a19f881e-bf3d-4826-be6a-3b804d	1	Who do you love?
q_a19f881e-bf3d-4826-be6a-3b804d	1	LOL
